Director_ID,Director_First_Name,Director_Last_Name,Director_Age_in_Years,Director_Gender
100,Kevin,Smith,52,Male
110,Miguel,Arteta,41,Male
120,Mark,Johnson,58,Male
130,Tom,Vaughan,37,Male
140,Francis,Lawrence,52,Male
150,Adrienne,Shelly,40,Female
160,David,Slade,53,Male
170,Mark,Palansky,53,Male
180,Jeff,Lowell,49,Male
190,Simon,Curtis,37,Male
200,Marc,Lawrence,95,Male
210,Anand,Tucker,59,Male
220,Judd,Apatow,55,Male
230,Cary,Fukunaga,45,Male
240,Mark,Helfrich,49,Male
250,Nanette,Burstein,52,Female
260,James,McAvoy,44,Male
270,Mark,Waters,58,Male
280,Seth,Gordon,46,Male
290,Alex,Kendrick,52,Male
300,Kevin,Lima,60,Male
310,Lasse,Hallström,76,Male
320,Ewan,McGregor,52,Male
330,Rajkumar,Hirani,60,Male
340,Ashutosh,Gowariker,59,Male
350,Karan,Johar,50,Male
360,S.S,Rajamouli,49,Male
370,Sukumar,NULL,53,Male
380,Aditya,Chopra,51,Male
390,Umesh,Shukla,52,Male
